133901000,TONDO I / II
133902000,BINONDO
133903000,QUIAPO
133904000,SAN NICOLAS
133905000,SANTA CRUZ
133906000,SAMPALOC
133907000,SAN MIGUEL
133908000,ERMITA
133909000,INTRAMUROS
133910000,MALATE
133911000,PACO
133912000,PANDACAN
133913000,PORT AREA
133914000,SANTA ANA
137401000,CITY OF MANDALUYONG
137402000,CITY OF MARIKINA
137403000,CITY OF PASIG
137404000,QUEZON CITY
137405000,CITY OF SAN JUAN
137501000,CALOOCAN CITY
137502000,CITY OF MALABON
137503000,CITY OF NAVOTAS
137504000,CITY OF VALENZUELA
137601000,CITY OF LAS PIÑAS
137602000,CITY OF MAKATI
137603000,CITY OF MUNTINLUPA
137604000,CITY OF PARAÑAQUE
137605000,PASAY CITY
137606000,PATEROS
137607000,TAGUIG CITY
Province,
P1339,CITY OF MANILA
P1374,NCR SECOND DISTRICT
P1375,NCR THIRD DISTRICT
P1376,NCR FOURTH DISTRICT
