160201000,BUENAVISTA
160202000,BUTUAN CITY (Capital)
160203000,CITY OF CABADBARAN
160204000,CARMEN
160205000,JABONGA
160206000,KITCHARAO
160207000,LAS NIEVES
160208000,MAGALLANES
160209000,NASIPIT
160210000,SANTIAGO
160211000,TUBAY
160212000,REMEDIOS T. ROMUALDEZ
160301000,CITY OF BAYUGAN
160302000,BUNAWAN
160303000,ESPERANZA
160304000,LA PAZ
160305000,LORETO
160306000,PROSPERIDAD (Capital)
160307000,ROSARIO
160308000,SAN FRANCISCO
160309000,SAN LUIS
160310000,SANTA JOSEFA
160311000,TALACOGON
160312000,TRENTO
160313000,VERUELA
160314000,SIBAGAT
166701000,ALEGRIA
166702000,BACUAG
166704000,BURGOS
166706000,CLAVER
166707000,DAPA
166708000,DEL CARMEN
166710000,GENERAL LUNA
166711000,GIGAQUIT
166714000,MAINIT
166715000,MALIMONO
166716000,PILAR
166717000,PLACER
166718000,SAN BENITO
166719000,SAN FRANCISCO (ANAO-AON)
166720000,SAN ISIDRO
166721000,SANTA MONICA (SAPAO)
166722000,SISON
166723000,SOCORRO
166724000,SURIGAO CITY (Capital)
166725000,TAGANA-AN
166727000,TUBOD
166801000,BAROBO
166802000,BAYABAS
166803000,CITY OF BISLIG
166804000,CAGWAIT
166805000,CANTILAN
166806000,CARMEN
166808000,CORTES
166809000,HINATUAN
166810000,LANUZA
166811000,LIANGA
166812000,LINGIG
166813000,MADRID
166814000,MARIHATAG
166815000,SAN AGUSTIN
166816000,SAN MIGUEL
166817000,TAGBINA
166818000,TAGO
166819000,CITY OF TANDAG (Capital)
168501000,BASILISA (RIZAL)
168502000,CAGDIANAO
168503000,DINAGAT
168504000,LIBJO (ALBOR)
168505000,LORETO
168506000,SAN JOSE (Capital)
168507000,TUBAJON
PROVINCE,
P1602,AGUSAN DEL NORTE
P1603,AGUSAN DEL SUR
P1667,SURIGAO DEL NORTE
P1668,SURIGAO DEL SUR
P1685,DINAGAT ISLANDS
