20901000,BASCO (Capital)
20902000,ITBAYAT
20903000,IVANA
20904000,MAHATAO
20905000,SABTANG
20906000,UYUGAN
21501000,ABULUG
21502000,ALCALA
21503000,ALLACAPAN
21504000,AMULUNG
21505000,APARRI
21506000,BAGGAO
21507000,BALLESTEROS
21508000,BUGUEY
21509000,CALAYAN
21510000,CAMALANIUGAN
21511000,CLAVERIA
21512000,ENRILE
21513000,GATTARAN
21514000,GONZAGA
21515000,IGUIG
21516000,LAL-LO
21517000,LASAM
21518000,PAMPLONA
21519000,PEÑABLANCA
21520000,PIAT
21521000,RIZAL
21522000,SANCHEZ-MIRA
21523000,SANTA ANA
21524000,SANTA PRAXEDES
21525000,SANTA TERESITA
21526000,SANTO NIÑO (FAIRE)
21527000,SOLANA
21528000,TUAO
21529000,TUGUEGARAO CITY (Capital)
23101000,ALICIA
23102000,ANGADANAN
23103000,AURORA
23104000,BENITO SOLIVEN
23105000,BURGOS
23106000,CABAGAN
23107000,CABATUAN
23108000,CITY OF CAUAYAN
23109000,CORDON
23110000,DINAPIGUE
23111000,DIVILACAN
23112000,ECHAGUE
23113000,GAMU
23114000,ILAGAN CITY (Capital)
23115000,JONES
23116000,LUNA
23117000,MACONACON
23118000,DELFIN ALBANO (MAGSAYSAY)
23119000,MALLIG
23120000,NAGUILIAN
23121000,PALANAN
23122000,QUEZON
23123000,QUIRINO
23124000,RAMON
23125000,REINA MERCEDES
23126000,ROXAS
23127000,SAN AGUSTIN
23128000,SAN GUILLERMO
23129000,SAN ISIDRO
23130000,SAN MANUEL
23131000,SAN MARIANO
23132000,SAN MATEO
23133000,SAN PABLO
23134000,SANTA MARIA
23135000,CITY OF SANTIAGO
23136000,SANTO TOMAS
23137000,TUMAUINI
25001000,AMBAGUIO
25002000,ARITAO
25003000,BAGABAG
25004000,BAMBANG
25005000,BAYOMBONG (Capital)
25006000,DIADI
25007000,DUPAX DEL NORTE
25008000,DUPAX DEL SUR
25009000,KASIBU
25010000,KAYAPA
25011000,QUEZON
25012000,SANTA FE
25013000,SOLANO
25014000,VILLAVERDE
25015000,ALFONSO CASTANEDA
25701000,AGLIPAY
25702000,CABARROGUIS (Capital)
25703000,DIFFUN
25704000,MADDELA
25705000,SAGUDAY
25706000,NAGTIPUNAN
PROVINCES
P209,BATANES
P215,CAGAYAN
P231,ISABELA
P250,NUEVA VIZCAYA
P257,QUIRINO
